site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
J541 97APR11 1997.2758 50549 900 5 140.8 283 0.095687 4500991 0.285265 743 0.899455 0.0000 0.001416 0.001738 0.006260 0.053632 -0.187193 -0.040974 40.6435674018 -219.1966531927 743.89945
J541 97APR12 1997.2786 50550 900 6 140.8 283 0.093008 4500991 0.285290 743 0.907368 0.0000 0.000943 0.001224 0.004090 -0.021593 -0.084023 -0.075823 40.6435674020 -219.1966532244 743.90737
J541 97APR24 1997.3114 50562 902 4 140.8 283 0.093258 4500991 0.281997 743 0.901830 0.0000 0.001429 0.001717 0.006103 -0.027795 -0.050527 -0.094372 40.6435673724 -219.1966532214 743.90183
J541 97APR25 1997.3142 50563 902 5 140.8 283 0.095887 4500991 0.288193 743 0.906085 0.0000 0.001155 0.001474 0.004989 -0.008820 -0.120112 -0.045915 40.6435674282 -219.1966531903 743.90608
J541 97JUN10 1997.4401 50609 909 2 140.8 283 0.096128 4500991 0.290695 743 0.912476 0.0000 0.001528 0.001965 0.007001 -0.021780 -0.210925 -0.018353 40.6435674507 -219.1966531875 743.91248
J541 97JUN11 1997.4428 50610 909 3 140.8 283 0.095158 4500991 0.290861 743 0.914530 0.0000 0.000926 0.001146 0.003966 -0.066530 -0.055593 -0.073100 40.6435674522 -219.1966531989 743.91453
J541 97JUN12 1997.4456 50611 909 4 140.8 283 0.094763 4500991 0.287617 743 0.911414 0.0000 0.001222 0.001525 0.005256 -0.049693 -0.024816 -0.075278 40.6435674230 -219.1966532036 743.91141
J541 97JUN13 1997.4483 50612 909 5 140.8 283 0.094053 4500991 0.288467 743 0.911796 0.0000 0.001420 0.001850 0.006504 -0.046741 -0.206581 -0.084916 40.6435674306 -219.1966532120 743.91180
J541 97JUN14 1997.4511 50613 909 6 140.8 283 0.095922 4500991 0.292212 743 0.908442 0.0000 0.000931 0.001191 0.004035 -0.051957 -0.039448 -0.025614 40.6435674644 -219.1966531899 743.90844
J541 97JUN15 1997.4538 50614 910 0 140.8 283 0.091942 4500991 0.287223 743 0.908151 0.0000 0.001162 0.001485 0.005039 0.046978 -0.099202 -0.013101 40.6435674194 -219.1966532370 743.90815
J541 97JUN17 1997.4593 50616 910 2 140.8 283 0.096957 4500991 0.289892 743 0.900091 0.0000 0.001457 0.002008 0.006738 -0.078359 -0.070190 -0.028957 40.6435674435 -219.1966531777 743.90009
J541 97JUN18 1997.4620 50617 910 3 140.8 283 0.091960 4500991 0.289610 743 0.917749 0.0000 0.001275 0.001562 0.005464 -0.013340 -0.108853 -0.056053 40.6435674409 -219.1966532367 743.91775
J541 97JUN21 1997.4702 50620 910 6 140.8 283 0.096886 4500991 0.288138 743 0.907640 0.0000 0.001430 0.001848 0.006166 -0.142069 -0.112255 -0.138304 40.6435674277 -219.1966531785 743.90764
J541 97JUN22 1997.4730 50621 911 0 140.8 283 0.094973 4500991 0.293168 743 0.899444 0.0000 0.001166 0.001450 0.004958 0.055096 -0.114225 -0.004851 40.6435674730 -219.1966532011 743.89944
J541 97JUN23 1997.4757 50622 911 1 140.8 283 0.094344 4500991 0.290553 743 0.920307 0.0000 0.001474 0.001919 0.006690 -0.051102 -0.182929 -0.087181 40.6435674494 -219.1966532086 743.92031
J541 97JUN24 1997.4784 50623 911 2 140.8 283 0.097535 4500991 0.287924 743 0.920410 0.0000 0.001243 0.001530 0.005214 -0.002280 -0.015897 -0.079468 40.6435674258 -219.1966531708 743.92041
