site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
J902 04JUL01 2004.4983 53187 1277 4 140.9 3528 0.267524 4479233 0.837960 475 0.820573 0.0000 0.000943 0.001369 0.005003 -0.129298 0.119421 -0.367151 40.4476340347 -219.0584095707 475.82057
J902 04JUL02 2004.5010 53188 1277 5 140.9 3528 0.269570 4479233 0.834711 475 0.826709 0.0000 0.000987 0.001422 0.005161 -0.158001 0.198107 -0.338116 40.4476340054 -219.0584095466 475.82671
J902 04JUL03 2004.5038 53189 1277 6 140.9 3528 0.269146 4479233 0.836611 475 0.832832 0.0000 0.001013 0.001424 0.005205 -0.131949 0.183746 -0.367596 40.4476340225 -219.0584095515 475.83283
J902 04JUL04 2004.5065 53190 1278 0 140.9 3528 0.270436 4479233 0.838166 475 0.817984 0.0000 0.000991 0.001446 0.005315 -0.144008 0.167374 -0.419044 40.4476340365 -219.0584095363 475.81798
J902 04JUL05 2004.5092 53191 1278 1 140.9 3528 0.266281 4479233 0.835315 475 0.831334 0.0000 0.001002 0.001424 0.005311 -0.100722 0.193314 -0.394253 40.4476340108 -219.0584095853 475.83133
J902 04JUL06 2004.5120 53192 1278 2 140.9 3528 0.275616 4479233 0.837184 475 0.854225 0.0000 0.000944 0.001420 0.005088 -0.064159 0.122976 -0.396398 40.4476340277 -219.0584094753 475.85423
J902 04JUL07 2004.5147 53193 1278 3 140.9 3528 0.269650 4479233 0.836895 475 0.825857 0.0000 0.000976 0.001438 0.005237 -0.197271 0.191530 -0.451050 40.4476340251 -219.0584095456 475.82586
J902 04JUL08 2004.5175 53194 1278 4 140.9 3528 0.273085 4479233 0.839313 475 0.829817 0.0000 0.000959 0.001367 0.005048 -0.151126 0.215646 -0.396747 40.4476340469 -219.0584095051 475.82982
J902 04JUL09 2004.5202 53195 1278 5 140.9 3528 0.278824 4479233 0.838696 475 0.827661 0.0000 0.000953 0.001372 0.005141 -0.050665 0.206629 -0.370474 40.4476340413 -219.0584094374 475.82766
J902 04JUL10 2004.5229 53196 1278 6 140.9 3528 0.268112 4479233 0.836469 475 0.832791 0.0000 0.000977 0.001341 0.005040 -0.130290 0.187862 -0.381095 40.4476340212 -219.0584095637 475.83279
J902 04JUL11 2004.5257 53197 1279 0 140.9 3528 0.268008 4479233 0.837279 475 0.816324 0.0000 0.000924 0.001353 0.005058 -0.125363 0.150562 -0.429598 40.4476340285 -219.0584095650 475.81632
J902 04JUL12 2004.5284 53198 1279 1 140.9 3528 0.268338 4479233 0.835893 475 0.815990 0.0000 0.000930 0.001357 0.005063 -0.123676 0.091700 -0.461498 40.4476340161 -219.0584095611 475.81599
J902 04JUL13 2004.5311 53199 1279 2 140.9 3528 0.268842 4479233 0.835466 475 0.823424 0.0000 0.000940 0.001326 0.004910 -0.121524 0.163967 -0.380479 40.4476340122 -219.0584095551 475.82342
J902 04JUL14 2004.5339 53200 1279 3 140.9 3528 0.268297 4479233 0.834731 475 0.820265 0.0000 0.000901 0.001353 0.004933 -0.101661 0.111296 -0.377539 40.4476340056 -219.0584095616 475.82026
J902 04JUL15 2004.5366 53201 1279 4 140.9 3528 0.270020 4479233 0.836318 475 0.832064 0.0000 0.000977 0.001454 0.005176 -0.167380 0.219302 -0.381417 40.4476340199 -219.0584095412 475.83206
J902 04JUL16 2004.5394 53202 1279 5 140.9 3528 0.268570 4479233 0.831680 475 0.850198 0.0000 0.001027 0.001450 0.005372 -0.106052 0.154460 -0.393644 40.4476339781 -219.0584095584 475.85020
J902 04JUL17 2004.5421 53203 1279 6 140.9 3528 0.263580 4479233 0.838449 475 0.828808 0.0000 0.000989 0.001405 0.005284 -0.126495 0.165656 -0.390475 40.4476340391 -219.0584096171 475.82881
J902 04JUL18 2004.5448 53204 1280 0 140.9 3528 0.265519 4479233 0.839901 475 0.831336 0.0000 0.000979 0.001414 0.005213 -0.116393 0.144893 -0.394783 40.4476340521 -219.0584095943 475.83134
J902 04JUL19 2004.5476 53205 1280 1 140.9 3528 0.269616 4479233 0.838767 475 0.820176 0.0000 0.000953 0.001364 0.005099 -0.095747 0.122499 -0.389923 40.4476340419 -219.0584095460 475.82018
J902 04JUL20 2004.5503 53206 1280 2 140.9 3528 0.273360 4479233 0.837820 475 0.845850 0.0000 0.001025 0.001431 0.005643 -0.102501 0.208876 -0.437178 40.4476340334 -219.0584095019 475.84585
J902 04JUL21 2004.5530 53207 1280 3 140.9 3528 0.267787 4479233 0.841689 475 0.808350 0.0000 0.000935 0.001435 0.005097 -0.119183 0.119435 -0.392593 40.4476340683 -219.0584095675 475.80835
J902 04JUL22 2004.5558 53208 1280 4 140.9 3528 0.266258 4479233 0.838868 475 0.813219 0.0000 0.000939 0.001375 0.004923 -0.152409 0.104071 -0.382882 40.4476340428 -219.0584095856 475.81322
J902 04JUL23 2004.5585 53209 1280 5 140.9 3528 0.270914 4479233 0.836712 475 0.836160 0.0000 0.001030 0.001427 0.005622 -0.111447 0.226941 -0.386029 40.4476340234 -219.0584095307 475.83616
J902 04JUL24 2004.5613 53210 1280 6 140.9 3528 0.266543 4479233 0.839923 475 0.849772 0.0000 0.000956 0.001361 0.005327 -0.109751 0.205796 -0.427554 40.4476340524 -219.0584095822 475.84977
J902 04JUL25 2004.5640 53211 1281 0 140.9 3528 0.270042 4479233 0.837872 475 0.825374 0.0000 0.000944 0.001331 0.005081 -0.129665 0.195025 -0.380507 40.4476340339 -219.0584095410 475.82537
J902 04JUL26 2004.5667 53212 1281 1 140.9 3528 0.267468 4479233 0.839723 475 0.820839 0.0000 0.000924 0.001327 0.004743 -0.155021 0.134148 -0.357798 40.4476340505 -219.0584095713 475.82084
J902 04JUL27 2004.5695 53213 1281 2 140.9 3528 0.268782 4479233 0.839653 475 0.834549 0.0000 0.001111 0.001499 0.006048 -0.102783 0.352302 -0.336064 40.4476340499 -219.0584095558 475.83455
J902 04JUL28 2004.5722 53214 1281 3 140.9 3528 0.267869 4479233 0.839364 475 0.824506 0.0000 0.000915 0.001306 0.004641 -0.181030 0.165889 -0.391781 40.4476340473 -219.0584095666 475.82451
J902 04JUL29 2004.5749 53215 1281 4 140.9 3528 0.268604 4479233 0.838588 475 0.823816 0.0000 0.000919 0.001349 0.004871 -0.149906 0.178005 -0.407616 40.4476340403 -219.0584095579 475.82382
J902 04JUL30 2004.5777 53216 1281 5 140.9 3528 0.266797 4479233 0.838243 475 0.824107 0.0000 0.000911 0.001327 0.004742 -0.159565 0.187303 -0.372151 40.4476340372 -219.0584095792 475.82411
J902 04JUL31 2004.5804 53217 1281 6 140.9 3528 0.268590 4479233 0.839047 475 0.825181 0.0000 0.000918 0.001304 0.004809 -0.158657 0.123746 -0.399303 40.4476340445 -219.0584095581 475.82518
J902 04AUG01 2004.5832 53218 1282 0 140.9 3528 0.269943 4479233 0.838162 475 0.830187 0.0000 0.000968 0.001403 0.005099 -0.093524 0.210084 -0.342864 40.4476340365 -219.0584095421 475.83019
J902 04AUG02 2004.5859 53219 1282 1 140.9 3528 0.269432 4479233 0.840370 475 0.828070 0.0000 0.000922 0.001375 0.005117 -0.123897 0.175969 -0.418692 40.4476340564 -219.0584095482 475.82807
J902 04AUG03 2004.5886 53220 1282 2 140.9 3528 0.273448 4479233 0.835295 475 0.834404 0.0000 0.000943 0.001394 0.004987 -0.162313 0.221712 -0.386794 40.4476340107 -219.0584095008 475.83440
J902 04AUG04 2004.5914 53221 1282 3 140.9 3528 0.270700 4479233 0.836410 475 0.821227 0.0000 0.000960 0.001407 0.005148 -0.166012 0.227373 -0.382142 40.4476340207 -219.0584095332 475.82123
J902 04AUG05 2004.5941 53222 1282 4 140.9 3528 0.270335 4479233 0.840270 475 0.816090 0.0000 0.001003 0.001355 0.005260 -0.099948 0.135348 -0.406183 40.4476340555 -219.0584095375 475.81609
J902 04AUG06 2004.5969 53223 1282 5 140.9 3528 0.272033 4479233 0.838306 475 0.827610 0.0000 0.000979 0.001354 0.005188 -0.164720 0.235678 -0.415989 40.4476340378 -219.0584095175 475.82761
J902 04AUG07 2004.5996 53224 1282 6 140.9 3528 0.269773 4479233 0.839526 475 0.820333 0.0000 0.000969 0.001392 0.005351 -0.081630 0.106080 -0.411532 40.4476340488 -219.0584095441 475.82033
J902 04AUG08 2004.6023 53225 1283 0 140.9 3528 0.267641 4479233 0.836496 475 0.844204 0.0000 0.000919 0.001354 0.005049 -0.148480 0.185992 -0.402397 40.4476340215 -219.0584095693 475.84420
