site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
G103 03APR01 2003.2471 52730 1212 2 140.9 -3437 -0.474967 4529189 0.909577 44 0.199276 0.0000 0.000917 0.001294 0.004301 0.007986 -0.074436 -0.191032 40.8974958803 -219.1407934356 44.19928
G103 03APR02 2003.2498 52731 1212 3 140.9 -3437 -0.474232 4529189 0.910198 44 0.193364 0.0000 0.000860 0.001148 0.003862 -0.054353 -0.071958 -0.086799 40.8974958859 -219.1407934269 44.19336
G103 03APR03 2003.2526 52732 1212 4 140.9 -3437 -0.472385 4529189 0.908506 44 0.195388 0.0000 0.000868 0.001154 0.003978 -0.084774 -0.009258 -0.053206 40.8974958706 -219.1407934049 44.19539
G103 03APR04 2003.2553 52733 1212 5 140.9 -3437 -0.474164 4529189 0.910233 44 0.193543 0.0000 0.000922 0.001215 0.004262 -0.135601 0.059569 -0.148386 40.8974958862 -219.1407934261 44.19354
G103 03APR05 2003.2580 52734 1212 6 140.9 -3437 -0.472233 4529189 0.909232 44 0.198504 0.0000 0.000871 0.001177 0.004004 -0.054635 -0.042197 -0.049229 40.8974958772 -219.1407934032 44.19850
G103 03APR06 2003.2608 52735 1213 0 140.9 -3437 -0.475249 4529189 0.910601 44 0.194791 0.0000 0.000866 0.001112 0.003969 -0.022296 -0.089213 -0.087861 40.8974958895 -219.1407934389 44.19479
G103 03APR07 2003.2635 52736 1213 1 140.9 -3437 -0.473866 4529189 0.911267 44 0.196332 0.0000 0.000863 0.001203 0.004005 -0.108492 -0.077873 -0.108062 40.8974958955 -219.1407934225 44.19633
G103 03APR08 2003.2663 52737 1213 2 140.9 -3437 -0.473877 4529189 0.913124 44 0.198389 0.0000 0.000941 0.001251 0.004401 -0.059180 -0.041393 -0.111217 40.8974959122 -219.1407934227 44.19839
G103 03APR09 2003.2690 52738 1213 3 140.9 -3437 -0.474263 4529189 0.911086 44 0.194757 0.0000 0.000863 0.001115 0.003896 -0.050771 -0.087714 -0.100430 40.8974958939 -219.1407934273 44.19476
G103 03APR10 2003.2717 52739 1213 4 140.9 -3437 -0.473648 4529189 0.912971 44 0.207980 0.0000 0.001032 0.001536 0.004735 0.015762 -0.081769 -0.077176 40.8974959108 -219.1407934200 44.20798
G103 03APR11 2003.2745 52740 1213 5 140.9 -3437 -0.472552 4529189 0.911551 44 0.195557 0.0000 0.000917 0.001242 0.004330 -0.034937 -0.083239 -0.064442 40.8974958981 -219.1407934070 44.19556
G103 03APR12 2003.2772 52741 1213 6 140.9 -3437 -0.473673 4529189 0.911172 44 0.208094 0.0000 0.000858 0.001186 0.004058 -0.061703 -0.058600 -0.124961 40.8974958946 -219.1407934202 44.20809
G103 03APR13 2003.2799 52742 1214 0 140.9 -3437 -0.469565 4529189 0.914669 44 0.217985 0.0000 0.000874 0.001145 0.003937 -0.024804 -0.077942 -0.115184 40.8974959261 -219.1407933715 44.21798
G103 03APR14 2003.2827 52743 1214 1 140.9 -3437 -0.472789 4529189 0.909030 44 0.198377 0.0000 0.000837 0.001085 0.003763 -0.040061 -0.083576 -0.107315 40.8974958754 -219.1407934097 44.19838
G103 03APR15 2003.2854 52744 1214 2 140.9 -3437 -0.471513 4529189 0.909751 44 0.200904 0.0000 0.000805 0.001043 0.003565 0.007724 -0.117689 -0.113032 40.8974958818 -219.1407933946 44.20090
G103 03APR16 2003.2882 52745 1214 3 140.9 -3437 -0.472220 4529189 0.913581 44 0.198985 0.0000 0.000824 0.001081 0.003668 0.016107 -0.095382 -0.085377 40.8974959163 -219.1407934030 44.19898
G103 03APR17 2003.2909 52746 1214 4 140.9 -3437 -0.473313 4529189 0.912384 44 0.210284 0.0000 0.000884 0.001181 0.004003 -0.028224 -0.029690 -0.147970 40.8974959056 -219.1407934160 44.21028
G103 03APR18 2003.2936 52747 1214 5 140.9 -3437 -0.473476 4529189 0.909116 44 0.202066 0.0000 0.000877 0.001214 0.004088 0.049616 -0.109747 -0.185019 40.8974958761 -219.1407934179 44.20207
